"PID","Name","Affiliation","Duty","Conference","Year","City","State","Country","#Papers","#Citations"
"JTmMb3kAAAAJ","PÄ±nar TÃ¶zÃ¼n","EPFL","PC Members","sigmod","2018","Houston","Texas","USA",29,354
"SqAsppUAAAAJ","Qiong Luo","HKUST","PC Members","sigmod","2018","Houston","Texas","USA",160,7022
"IKgiD0AAAAAJ","Raymond Chi-Wing Wong","TheHong Kong University of Science and Technology","PC Members","sigmod","2018","Houston","Texas","USA",320,5574
"aPB--KUAAAAJ","Steffen Mueller","Codagenix Inc","PC Members","sigmod","2018","Houston","Texas","USA",260,10614
"7R7MSb4AAAAJ","Reynold Cheng","Associate Professor of Computer Science;University of Hong Kong","PC Members","sigmod","2018","Houston","Texas","USA",1040,5957
"OLfQNfEAAAAJ","Ryan Johnson","Professor of Computer Science;University of Toronto","PC Members","sigmod","2018","Houston","Texas","USA",376,3888
"pyZ_FH4AAAAJ","Ryan Stutsman","School of Computing;University of Utah","PC Members","sigmod","2018","Houston","Texas","USA",40,1624
"KtP9-zYAAAAJ","S. Sudarshan","Professor of Computer Science;Indian Institute of Technology; Bombay","PC Members","sigmod","2018","Houston","Texas","USA",145,13398
"OiVJBdAAAAAJ","Sebastian BreÃŸ","German Research Center for Artificial Intelligence(DFKI GmbH) and Technische UniversitÃ¤t Berlin","PC Members","sigmod","2018","Houston","Texas","USA",41,435
"XxQq8nsAAAAJ","Semih Salihoglu","Asst. Prof.;University of Waterloo","PC Members","sigmod","2018","Houston","Texas","USA",25,820
"uF3-t9EAAAAJ","Sergey Melnik","University of Limerick","PC Members","sigmod","2018","Houston","Texas","USA",38,905
"MTZaRW4AAAAJ","sharad mehrotra","Univ. of California; Irvine","PC Members","sigmod","2018","Houston","Texas","USA",405,20314
"8qdXaOkAAAAJ","Shuo Shang","KAUST","PC Members","sigmod","2018","Houston","Texas","USA",49,751
"2cpal78AAAAJ","SÃ¶ren Auer","Leibniz University of Hannover; TIB Leibniz Information Centre for Science and Technology","PC Members","sigmod","2018","Houston","Texas","USA",415,13740
"o0F3sqEAAAAJ","Sourav S Bhowmick","Associate Professor;Nanyang Technological University","PC Members","sigmod","2018","Houston","Texas","USA",238,3665
"4_1z8yEAAAAJ","Spyros Blanas","Assistant Professor of Computer Science and Engineering; TheOhio State University","PC Members","sigmod","2018","Houston","Texas","USA",23,1055
"k3YaoIEAAAAJ","Stanley Zdonik","Brown University","PC Members","sigmod","2018","Houston","Texas","USA",267,24592
"aiulJmIAAAAJ","Stefano Ceri","Professor;Politecnico di Milano","PC Members","sigmod","2018","Houston","Texas","USA",580,26182
"w6hts30AAAAJ","Steven Euijong Whang","Research Scientist; Google Research","PC Members","sigmod","2018","Houston","Texas","USA",42,1452
"rg6Bl5YAAAAJ","Stratos Idreos","Harvard School of Engineering and Applied Sciences","PC Members","sigmod","2018","Houston","Texas","USA",109,2540
"vzfO5TwAAAAJ","Sudeepa Roy","Duke University; Computer Science","PC Members","sigmod","2018","Houston","Texas","USA",36,609
"LKgo-jcAAAAJ","Sudipto Das","Researcher; Microsoft Research","PC Members","sigmod","2018","Houston","Texas","USA",60,3042
"dwxm_CoAAAAJ","M. Tamer Ã–zsu","Professor of Computer Science;University of Waterloo","PC Members","sigmod","2018","Houston","Texas","USA",378,15368
"ZUzG5igAAAAJ","Theodoros Rekatsinas","Assistant Professor;University of Wisconsin-Madison","PC Members","sigmod","2018","Houston","Texas","USA",23,207
"ZfUyYtEAAAAJ","Thomas Neumann","Hochschule fÃ¼r Technik und Wirtschaft Dresden","PC Members","sigmod","2018","Houston","Texas","USA",8,138
"biuxbRsAAAAJ","Tim Kraska","UC Berkeley","PC Members","sigmod","2018","Houston","Texas","USA",113,3970
"IukO3bIAAAAJ","Todd J. Green","Assistant Professor of Computer Science;University of California - Davis","PC Members","sigmod","2018","Houston","Texas","USA",80,3869
"ewCT-KkAAAAJ","Torben Pedersen","Bocconi University","PC Members","sigmod","2018","Houston","Texas","USA",457,13062
"VKfq59gAAAAJ","Ulf Leser","Knowledge Management in Bioinformatics;Humboldt-UniversitÃ¤t zu Berlin","PC Members","sigmod","2018","Houston","Texas","USA",239,5823
"nKR2tGvMLFMC","Vagelis Hristidis (aka Evangelos Christidis)","Associate Professor of Computer Science;University of California - Riverside","PC Members","sigmod","2018","Houston","Texas","USA",135,6543
"Md2HV1cAAAAJ","Vassilios Verykios","Hellenic Open University; GREECE","PC Members","sigmod","2018","Houston","Texas","USA",161,7184
"u0S6ofAAAAAJ","Wenfei Fan","Professor of Web Data Management;University of Edinburgh","PC Members","sigmod","2018","Houston","Texas","USA",194,9077
"Owype4oAAAAJ","Wentao Wu","Microsoft Research","PC Members","sigmod","2018","Houston","Texas","USA",38,909
"oPGhz_cAAAAJ","Willis Lang","Microsoft Corp;University of Wisconsin","PC Members","sigmod","2018","Houston","Texas","USA",31,733
"YYzvyMQAAAAJ","Wolfgang Lehner","Technische UniversitÃ¤t Dresden","PC Members","sigmod","2018","Houston","Texas","USA",488,4922
"Jp_w2IwAAAAJ","Wook-Shin Han","Professor;Pohang University of Science and Technology","PC Members","sigmod","2018","Houston","Texas","USA",112,1741
"y6m820wAAAAJ","Xiaofang Zhou","Professor of Computer Science;University of Queensland","PC Members","sigmod","2018","Houston","Texas","USA",611,8036
"BpgsGX0AAAAJ","Xiaokui Xiao","National University of Singapore","PC Members","sigmod","2018","Houston","Texas","USA",96,6293
"XZV2eogAAAAJ","Xifeng Yan","Professor; Computer Science;Univ. of California at Santa Barbara","PC Members","sigmod","2018","Houston","Texas","USA",328,16099
"Y1aOQ3QAAAAJ","Yael Amsterdamer","Senior lecturer; the Department of Computer Science;Bar Ilan University","PC Members","sigmod","2018","Houston","Texas","USA",26,514
"BtpxluIAAAAJ","Yanif Ahmad","Assistant Professor of Computer Science; TheJohns Hopkins University","PC Members","sigmod","2018","Houston","Texas","USA",51,2290
"81cvn3sAAAAJ","Yannis Papakonstantinou","UCSD","PC Members","sigmod","2018","Houston","Texas","USA",189,14689
"FI1rYesAAAAJ","Yannis Velegrakis","Professor of Computer Science;University of Trento","PC Members","sigmod","2018","Houston","Texas","USA",136,2775
"K-isjagAAAAJ","He He","Post-doc atStanford University","PC Members","sigmod","2018","Houston","Texas","USA",22,414
"XbLPeQcAAAAJ","Yi Chen","New Jersey Institute of Technology","PC Members","sigmod","2018","Houston","Texas","USA",93,2726
"r1VFrkAAAAAJ","Yin Yang","Hamad Bin Khalifa University","PC Members","sigmod","2018","Houston","Texas","USA",59,1735
"9LTwX4cAAAAJ","Ying Zhang","University of Technology Sydney(UTS)","PC Members","sigmod","2018","Houston","Texas","USA",92,1943
"9u7wNjUAAAAJ","Yinghui Wu","Washington State University","PC Members","sigmod","2018","Houston","Texas","USA",51,1184
"_XE_jhQAAAAJ","Yuanyuan Tian","IBM Almaden Research Center","PC Members","sigmod","2018","Houston","Texas","USA",47,2800
"3FmJBHkAAAAJ","Yufei Tao","Chinese University of Hong Kong","PC Members","sigmod","2018","Houston","Texas","USA",214,15813
"SB3_eb0AAAAJ","He Yuxiong","Microsoft Research","PC Members","sigmod","2018","Houston","Texas","USA",90,1306
"Qg7T6vUAAAAJ","Zaiqing Nie","Microsoft Research Asia","PC Members","sigmod","2018","Houston","Texas","USA",94,2657
"p3aFd0sAAAAJ","Zhe (Shirley) Chen","University of Michigan; Ann Arbor","PC Members","sigmod","2018","Houston","Texas","USA",11,152
"ck-yNM0AAAAJ","BAO ZHIFENG","RMIT University; Australia","PC Members","sigmod","2018","Houston","Texas","USA",96,1108
"Q7QvAjgAAAAJ","Zhiwei Zhang","Hong Kong Baptist University","PC Members","sigmod","2018","Houston","Texas","USA",7,55
"QUdlpN0AAAAJ","Ziawasch Abedjan","TU Berlin","PC Members","sigmod","2018","Houston","Texas","USA",34,486
"SIxd6jgAAAAJ","Dan Suciu","University of Washington","Program Chair","sigmod","2017","Chicago","Midwestern","USA",456,29127
"DDxFvcIAAAAJ","Magdalena Balazinska","University of Washington","Vice Chairs","sigmod","2017","Chicago","Midwestern","USA",186,11065
"4eeIj2gAAAAJ","Dan Olteanu","Professor of Computer Science;Oxford","Vice Chairs","sigmod","2017","Chicago","Midwestern","USA",96,3392
"YdrkeNwAAAAJ","Anastasia Ailamaki","Professor of Computer and Communication Sciences.EPFL","Group Leaders","sigmod","2017","Chicago","Midwestern","USA",312,10122
"6OEYXEIAAAAJ","Philip A. Bernstein","Microsoft Research","Group Leaders","sigmod","2017","Chicago","Midwestern","USA",332,34161
"XbLPeQcAAAAJ","Yi Chen","New Jersey Institute of Technology","Group Leaders","sigmod","2017","Chicago","Midwestern","USA",93,2726
"wb9DYOEAAAAJ","Carlo Aldo Curino","Principal Research Scientist;Microsoft-- CISL","Group Leaders","sigmod","2017","Chicago","Midwestern","USA",91,4567
"e8WrHMwAAAAJ","Xin Dong","Lawrence Berkeley National Laboratory","Group Leaders","sigmod","2017","Chicago","Midwestern","USA",45,2183
"sSzAlq0AAAAJ","Juliana Freire","New York University","Group Leaders","sigmod","2017","Chicago","Midwestern","USA",279,10877
"bxSK7o8AAAAJ","Benny Kimelfeld","Technion - Israel Institute of Technology","Group Leaders","sigmod","2017","Chicago","Midwestern","USA",105,1915
"4VLZdawAAAAJ","Hank Korth","Professor of Computer Science;Lehigh University","Group Leaders","sigmod","2017","Chicago","Midwestern","USA",229,16588
"q6Ft35wAAAAJ","Ioana Manolescu","Senior researcher; Inria Saclay; part-time professor; Ecole polytechnique; France","Group Leaders","sigmod","2017","Chicago","Midwestern","USA",236,5863
"VeB3UbcAAAAJ","Aditya Parameswaran","Assistant Professor; University of Illinois (UIUC)","Group Leaders","sigmod","2017","Chicago","Midwestern","USA",105,2110
"8RZQjpEAAAAJ","Hyunjung Park","Google","Group Leaders","sigmod","2017","Chicago","Midwestern","USA",17,612
"KtP9-zYAAAAJ","S. Sudarshan","Professor of Computer Science;Indian Institute of Technology; Bombay","Group Leaders","sigmod","2017","Chicago","Midwestern","USA",145,13398
"3FmJBHkAAAAJ","Yufei Tao","Chinese University of Hong Kong","Group Leaders","sigmod","2017","Chicago","Midwestern","USA",214,15813
"SdGU2bMAAAAJ","Jens Teubner","Senior Researcher;ETH Zurich; Systems Group","Group Leaders","sigmod","2017","Chicago","Midwestern","USA",94,2969
