PID,Duty, Title, Author, Co-Author1, Co-Author2, Co-Author3, Co-Author4, Co-Author5, Conference, Year, #Citations
0EWw1z8AAAAJ,PC@VLDB, TREC-2006 at Maryland: Blog; enterprise; legal and QA tracks, Douglas Oard,  Tamer Elsayed,  Jianqiang Wang,  Yejun Wu,  Pengyi Zhang,  Eileen Abels, *,2006,25
0EWw1z8AAAAJ,PC@VLDB, Fast candidate generation for real-time tweet search with bloom filter chains, Nima Asadi,  Jimmy Lin, , , , , ACM Transactions on Information Systems (TOIS),2013,24
0EWw1z8AAAAJ,PC@VLDB, Training efficient tree-based models for document ranking, Nima Asadi,  Jimmy Lin, , , , , European Conference on Information Retrieval,2013,24
0EWw1z8AAAAJ,PC@VLDB, Navigating information spaces: A case study of related article search in PubMed, Jimmy Lin,  Michael DiCuccio,  Vahan Grigoryan,  W John Wilbur, , , Information Processing & Management,2008,24
0EWw1z8AAAAJ,PC@VLDB, Start and beyond, Boris Katz,  Jimmy Lin, , , , , Proceedings of 6th World Multiconference on Systemics; Cybernetics; and Informatics,2002,24
0EWw1z8AAAAJ,PC@VLDB, Report on the SIGIR 2015 workshop on reproducibility; inexplicability; and generalizability of results (RIGOR), Jaime Arguello,  Matt Crane,  Fernando Diaz,  Jimmy Lin,  Andrew Trotman, , ACM SIGIR Forum,2016,23
0EWw1z8AAAAJ,PC@VLDB, A sentence-trimming approach to multi-document summarization, David Zajic,  Bonnie Dorr,  Richard Schwartz,  Christof Monz,  J Lin, , Proceedings of HLT/EMNLP 2005 Workshop on Text Summarization (HLT/EMNLP®π05),2005,23
0EWw1z8AAAAJ,PC@VLDB, Summarization, Jimmy Lin, , , , , , *,2009,22
0EWw1z8AAAAJ,PC@VLDB, Assessor differences and user preferences in tweet timeline generation, Yulu Wang,  Garrick Sherman,  Jimmy Lin,  Miles Efron, , , Proceedings of the 38th International ACM SIGIR Conference on Research and Development in Information Retrieval,2015,21
0EWw1z8AAAAJ,PC@VLDB, Exploring large-data issues in the curriculum: A case study with MapReduce, Jimmy Lin, , , , , , Proceedings of the Third Workshop on Issues in Teaching Computational Linguistics,2008,21
0EWw1z8AAAAJ,PC@VLDB, NScale: neighborhood-centric large-scale graph analytics in the cloud, Abdul Quamar,  Amol Deshpande,  Jimmy Lin, , , , The VLDB Journal,2016,20
0EWw1z8AAAAJ,PC@VLDB, Anytime ranking for impact-ordered indexes, Jimmy Lin,  Andrew Trotman, , , , , Proceedings of the 2015 International Conference on The Theory of Information Retrieval,2015,20
0EWw1z8AAAAJ,PC@VLDB, Indexing and retrieving natural language using ternary expressions, Jimmy Lin, , , , , , *,2001,20
0EWw1z8AAAAJ,PC@VLDB, Report on the Evaluation-as-a-Service (EaaS) expert workshop, Frank Hopfgartner,  Allan Hanbury,  Henning M√ºller,  Noriko Kando,  Simon Mercer,  Jayashree Kalpathy-Cramer, ACM SIGIR Forum,2015,19
0EWw1z8AAAAJ,PC@VLDB, Hone: Scaling down hadoop on shared-memory systems, K Ashwin Kumar,  Jonathan Gluck,  Amol Deshpande,  Jimmy Lin, , , Proceedings of the VLDB Endowment,2013,19
0EWw1z8AAAAJ,PC@VLDB, Combining statistical translation techniques for cross-language information retrieval, Ferhan Ture,  Jimmy Lin,  Douglas Oard, , , , Proceedings of COLING 2012,2012,19
0EWw1z8AAAAJ,PC@VLDB, Putting the user in the loop: interactive maximal marginal relevance for query-focused summarization, Jimmy Lin,  Nitin Madnani,  Bonnie J Dorr, , , , Human Language Technologies: The 2010 Annual Conference of the North American Chapter of the Association for Computational Linguistics,2010,19
0EWw1z8AAAAJ,PC@VLDB, Semantic clustering of answers to clinical questions, Jimmy Lin,  Dina Demner-Fushman, , , , , AMIA Annual Symposium Proceedings,2007,19
0EWw1z8AAAAJ,PC@VLDB, Different structures for evaluating answers to complex questions: Pyramids won't topple; and neither will human assessors, Hoa Trang Dang,  Jimmy Lin, , , , , Proceedings of the 45th Annual Meeting of the Association of Computational Linguistics,2007,19
0EWw1z8AAAAJ,PC@VLDB, Toward reproducible baselines: The open-source ir reproducibility challenge, Jimmy Lin,  Matt Crane,  Andrew Trotman,  Jamie Callan,  Ishan Chattopadhyaya,  John Foley, European Conference on Information Retrieval,2016,18
0EWw1z8AAAAJ,PC@VLDB, Evaluation-as-a-Service: Overview and outlook, Allan Hanbury,  Henning M√ºller,  Krisztian Balog,  Torben Brodt,  Gordon V Cormack,  Ivan Eggel, arXiv preprint arXiv:1512.07454,2015,18
0EWw1z8AAAAJ,PC@VLDB, NScale: neighborhood-centric analytics on large graphs, Abdul Quamar,  Amol Deshpande,  Jimmy Lin, , , , Proceedings of the VLDB Endowment,2014,18
0EWw1z8AAAAJ,PC@VLDB, Integrating web resources and lexicons into a natural language query system, Boris Katz,  Deniz Yuret,  Jimmy Lin,  Sue Felshin,  Rebecca Schulman,  Adnan Ilik, Multimedia Computing and Systems; 1999. IEEE International Conference on,1999,18
0EWw1z8AAAAJ,PC@VLDB, Document vector representations for feature extraction in multi-stage document ranking, Nima Asadi,  Jimmy Lin, , , , , Information retrieval,2013,17
0EWw1z8AAAAJ,PC@VLDB, Data-Intensive Text Processing with MapReduce (Synthesis Lectures on Human Language Technologies), Jimmy Lin,  Chris Dyer,  G Hirst, , , , Morgan and Claypool Publishers,2010,17
0EWw1z8AAAAJ,PC@VLDB, Weathering the storm: The policy implications of cloud computing, Justin M Grimes,  Paul T Jaeger,  Jimmy Lin, , , , *,2009,17
0EWw1z8AAAAJ,PC@VLDB, The role of information retrieval in answering complex questions, Jimmy Lin, , , , , , Proceedings of the COLING/ACL on Main conference poster sessions,2006,17
0EWw1z8AAAAJ,PC@VLDB, Real-time twitter recommendation: Online motif detection in large dynamic graphs, Pankaj Gupta,  Venu Satuluri,  Ajeet Grewal,  Siva Gurumurthy,  Volodymyr Zhabiuk,  Quannan Li, Proceedings of the VLDB Endowment,2014,16
0EWw1z8AAAAJ,PC@VLDB, Infrastructure for supporting exploration and discovery in web archives, Jimmy Lin,  Milad Gholami,  Jinfeng Rao, , , , Proceedings of the 23rd International Conference on World Wide Web,2014,16
0EWw1z8AAAAJ,PC@VLDB, A month in the life of a production news recommender system, Alan Said,  Jimmy Lin,  Alejandro Bellog√≠n,  Arjen de Vries, , , Proceedings of the 2013 workshop on Living labs for information retrieval evaluation,2013,16
0EWw1z8AAAAJ,PC@VLDB, Looking inside the box: Context-sensitive translation for cross-language information retrieval, Ferhan Ture,  Jimmy Lin,  Douglas W Oard, , , , Proceedings of the 35th international ACM SIGIR conference on Research and development in information retrieval,2012,16
