PID, Duty, Conference, Year, City, State, Country
Q7QvAjgAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
QUdlpN0AAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
SIxd6jgAAAAJ,Program Chair,sigmod,2017,Chicago,Midwestern,USA
YdrkeNwAAAAJ,Group Leaders,sigmod,2017,Chicago,Midwestern,USA
wb9DYOEAAAAJ,Group Leaders,sigmod,2017,Chicago,Midwestern,USA
e8WrHMwAAAAJ,Group Leaders,sigmod,2017,Chicago,Midwestern,USA
sSzAlq0AAAAJ,Group Leaders,sigmod,2017,Chicago,Midwestern,USA
bxSK7o8AAAAJ,Group Leaders,sigmod,2017,Chicago,Midwestern,USA
4VLZdawAAAAJ,Group Leaders,sigmod,2017,Chicago,Midwestern,USA
q6Ft35wAAAAJ,Group Leaders,sigmod,2017,Chicago,Midwestern,USA
VeB3UbcAAAAJ,Group Leaders,sigmod,2017,Chicago,Midwestern,USA
8RZQjpEAAAAJ,Group Leaders,sigmod,2017,Chicago,Midwestern,USA
SdGU2bMAAAAJ,Group Leaders,sigmod,2017,Chicago,Midwestern,USA
3BX3vWcAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
AjuZwsIAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
Vg_tH_0AAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
ObrHM1sAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
O125w4cAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
atL47L0AAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
0RdtBlUAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
keO-0s0AAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
6cR0AYIAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
9Qs9CEQAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
G-1f1G4AAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
qljqoI0AAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
PDwcE7wAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
1WXDq-sAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
8QeCBlwAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
mdE4fyoAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
7SdcAiEAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
oleB9xIAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
njFoZewAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
Ka6w1vgAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
2lZr6WsAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
IF0C9wQAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
318GQ54AAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
5WOeXMAAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
9mIBxkMAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
MVxcjEoAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
s_GmFv0AAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
lCdBR8cAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
LdixJxkAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
8z0TuC0AAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
w6-6MLkAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
yJ998VYAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
K5VPw-IAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
LbXvZUoAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
YG6mTEIAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
f5vdXEQAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
2QkR2WoAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
aYYaoTEAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
w2CfzowAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
eavzCOMAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
nwDychwAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
9Q9tiCsAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
dg3_PMoAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
jNQlAkoAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
39uRKZsAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
HYDToQYAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
UR4eDW4AAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
FJtpK04AAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
Vday3jIAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
jqzSwdsAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
rDfyQnIAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
DwKNhwwAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
ZZdB48QAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
84VKAOtBpz4C,PC Members,sigmod,2017,Chicago,Midwestern,USA
j6rglkYAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
dBJXoN0AAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
gM2WW9UAAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
7R7MSb4AAAAJ,PC Members,sigmod,2018,Houston,Texas,USA
EfuT9RoAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
VIwtdckAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
1upl5vQAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
BauIS1IAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
E0QQoIMAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
X_mATf8AAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
5_e2f04AAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
JMwO_hkAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
OhiNDfkAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
FXIxFs4AAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
W9YkIcoAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
PlgV6FwAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
5Ljnma4AAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
XQOSmToAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
2ubDR0gAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
QpbUFRsAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
BQvUJuYAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
ODCUXBgAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
GEnUYjQAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
8PfpzuEAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
zCpQUukAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
qdMkAEIAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
eao5MiQAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
jWdEzfgAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
xEZlTrIAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
FmRpFsoAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
YlsHgYQAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
Xm9AagkAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
EoG3v7QAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
oaM-d7QAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
ZxgGJMwAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
Q1mcglAAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
3HUfWfkAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
X53rkecAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
6zswH_oAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
EA4ZKygAAAAJ,PC Members,sigmod,2017,Chicago,Midwestern,USA
a1ngrCIAAAAJ,Program Chair,sigmod,2016,San Francisco,California,USA
rMtUkMcAAAAJ,Group Leaders,sigmod,2016,San Francisco,California,USA
GhGV4P8AAAAJ,Group Leaders,sigmod,2016,San Francisco,California,USA
D2P2B0MAAAAJ,Group Leaders,sigmod,2016,San Francisco,California,USA
hcqjUUQAAAAJ,Group Leaders,sigmod,2016,San Francisco,California,USA
vq5oTnEAAAAJ,Group Leaders,sigmod,2016,San Francisco,California,USA
pU0dce0AAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
gC5ucdsAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
ww87pkcAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
fkNjVcIAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
2eUL7eEAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
qtfHsnoAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
usr3H7gAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
e7Qs3JgAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
dDBGgkEAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
R1Jt75cAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
DCIZE1kAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
2mZrp18AAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
S9zyMRgAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
rPn2SMoAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
0s4q-8oAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
On163UsAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
yB17meAAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
sugWZ6MAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
mGPuiasAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
o-I3jsgAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
k2cCwvsAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
gbH5eZQAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
V6f0Ao4AAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
LNgp00MAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
AGN14uwAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
JUkPW-cAAAAJ,PC Members,sigmod,2016,San Francisco,California,USA
