PID, Name, Affiliation
QpbUFRsAAAAJ,Elisa Quintarelli,Politecnico di Milano
BQvUJuYAAAAJ,Tilmann Rabl,Professor -TU Berlin
ODCUXBgAAAAJ,Vaibhav Rastogi,University of Wisconsin
GEnUYjQAAAAJ,Matthias Schubert,Ludwig-Maximilians Universität München
8PfpzuEAAAAJ,Florin Rusu,Associate Professor; EECS;UC Merced
zCpQUukAAAAJ,Sebastian Schelter,Applied Scientist at Amazon / Guest Lecturer atTechnische Universität Berlin
qdMkAEIAAAAJ,Malcolm Sears,Professor of Medicine;McMaster University
eao5MiQAAAAJ,Pierre Senellart,Professor of Computer Science;École normale supérieure
jWdEzfgAAAAJ,Emad Soroush,Ph.d. student;University of Washington
xEZlTrIAAAAJ,Michael Spear,Lehigh University
FmRpFsoAAAAJ,Letizia Tanca,Professor of Databases and Technologies for Information Systems -Politecnico di Milano
YlsHgYQAAAAJ,Nesime Tatbul,Intel Labs andMIT
Xm9AagkAAAAJ,Amirhossein Aleyasen,University of Illinois at Urbana-Champaign
EoG3v7QAAAAJ,Felipe Villela Gomes,University of Pittsburgh
oaM-d7QAAAAJ,Vasilis Vassalos,Associate Professor of Informatics;Athens University of Economics and Business
ZxgGJMwAAAAJ,Stratis Viglas,Professor; Computer Science; School of Informatics;University of Edinburgh
Q1mcglAAAAAJ,Haixun Wang,Director of Natural Language Processing atAmazon
3HUfWfkAAAAJ,Hui Wang,University of Louisville
X53rkecAAAAJ,Eugene Wu,Columbia University
6zswH_oAAAAJ,Cong Yu,Senior Staff Research Scientist; Google Research NYC
EA4ZKygAAAAJ,Bo Zhao,Martinos Center for Biomedical Imaging; Harvard Medical School
a1ngrCIAAAAJ,Samuel Madden,MIT
rMtUkMcAAAAJ,Sihem Amer-Yahia,Research Director;CNRS; LIG; France
GhGV4P8AAAAJ,Roman Prokofyev,Chief Scientist at FAIRTIQ AG
D2P2B0MAAAAJ,Chris Jermaine,Associate Professor of Computer Science;Rice University
hcqjUUQAAAAJ,Amélie Marian,Associate Professor of Computer Science;Rutgers University
vq5oTnEAAAAJ,Kyriakos Mouratidis,School of Information Systems;Singapore Management University
